miRTarBase ID,miRNA,Species (miRNA),Target Gene,Target Gene (Entrez ID),Species (Target Gene),Experiments,Support Type,References (PMID)
MIRT003084,hsa-miR-122-5p,hsa,ANXA11,311,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003083,hsa-miR-122-5p,hsa,ENTPD4,9583,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003082,hsa-miR-122-5p,hsa,NFATC2IP,84901,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003081,hsa-miR-122-5p,hsa,ANK2,287,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003108,hsa-miR-122-5p,hsa,SLC7A11,23657,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,19296470
MIRT003080,hsa-miR-122-5p,hsa,GYS1,2997,hsa,qRT-PCR//Western blot//Northern blot,Functional MTI,18073344
MIRT003731,hsa-miR-519b-3p,hsa,ELAVL1,1994,hsa,qRT-PCR//Western blot,Functional MTI,19088191
MIRT003732,hsa-miR-519c-3p,hsa,ELAVL1,1994,hsa,qRT-PCR//Western blot,Functional MTI,19088191
MIRT003733,hsa-miR-519a-3p,hsa,ELAVL1,1994,hsa,qRT-PCR//Western blot,Functional MTI,19088191
MIRT003333,hsa-miR-15a-5p,hsa,BRCA1,672,hsa,Luciferase reporter assay,Functional MTI,19144710
MIRT003328,hsa-miR-16-5p,hsa,BRCA1,672,hsa,Luciferase reporter assay,Functional MTI,19144710
MIRT003060,hsa-miR-143-3p,hsa,FNDC3B,64778,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,19472311
MIRT003734,hsa-miR-128-3p,hsa,E2F3,1871,hsa,Luciferase reporter assay,Functional MTI,18810376
MIRT003058,hsa-miR-144-3p,hsa,PLAG1,5324,hsa,Luciferase reporter assay,Functional MTI,19347935
MIRT003057,hsa-miR-375,hsa,PLAG1,5324,hsa,Luciferase reporter assay,Functional MTI,19347935
MIRT003735,hsa-miR-29a-3p,hsa,S100B,6285,hsa,Luciferase reporter assay//qRT-PCR//Northern blot,Functional MTI,19102781
MIRT003736,hsa-miR-29b-3p,hsa,S100B,6285,hsa,Luciferase reporter assay//qRT-PCR//Northern blot,Functional MTI,19102781
MIRT003054,hsa-miR-21-5p,hsa,PDCD4,27250,hsa,Luciferase reporter assay//Westren blot,Functional MTI,17968323
MIRT003051,hsa-miR-124-3p,hsa,RDH10,157506,hsa,Luciferase reporter assay,Functional MTI,17724173
MIRT003050,hsa-let-7i-5p,hsa,TLR4,7099,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17660297
MIRT003738,hsa-miR-125a-5p,hsa,LIN28A,79727,hsa,Luciferase reporter assay,Functional MTI,17400653
MIRT003045,hsa-miR-106b-5p,hsa,E2F1,1869,hsa,Luciferase reporter assay,Functional MTI,18676839
MIRT000603,hsa-miR-106b-5p,hsa,CDKN1A,1026,hsa,Luciferase reporter assay,Functional MTI,18676839
MIRT003739,hsa-miR-32-5p,hsa,BCL2L11,10018,hsa,Luciferase reporter assay,Functional MTI,18676839
MIRT003042,hsa-miR-338-3p,hsa,ZBTB18,10472,hsa,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003041,hsa-miR-338-3p,hsa,DAB2IP,153090,hsa,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003040,hsa-miR-338-3p,hsa,MAP1A,4130,hsa,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003039,hsa-miR-338-3p,hsa,NOVA1,4857,hsa,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003038,hsa-miR-338-3p,hsa,UBE2Q1,55585,hsa,qRT-PCR//Western blot,Functional MTI,18684991
MIRT003036,hsa-miR-181b-5p,hsa,VSNL1,7447,hsa,Luciferase assay/RT-PCR,Functional MTI (Weak),18184693
MIRT003035,hsa-miR-181b-5p,hsa,GRIA2,2891,hsa,Luciferase assay/RT-PCR,Functional MTI (Weak),18184693
MIRT003032,hsa-miR-203a-3p,hsa,ABL1,25,hsa,Luciferase reporter assay,Functional MTI,18538733
MIRT003031,hsa-miR-92a-3p,hsa,ITGA5,3678,hsa,Luciferase reporter assay//Western blot//Microarray,Functional MTI,19460962
MIRT003029,hsa-miR-29b-3p,hsa,DNMT3A,1788,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT003028,hsa-miR-29c-3p,hsa,DNMT3A,1788,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT003027,hsa-miR-29a-3p,hsa,DNMT3B,1789,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT003026,hsa-miR-29b-3p,hsa,DNMT3B,1789,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT003025,hsa-miR-29c-3p,hsa,DNMT3B,1789,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT003741,hsa-miR-17-5p,hsa,RUNX1,861,hsa,Luciferase reporter assay,Functional MTI,17589498
MIRT003742,hsa-miR-20a-5p,hsa,RUNX1,861,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17589498
MIRT003743,hsa-miR-106a-5p,hsa,RUNX1,861,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,17589498
MIRT003021,hsa-miR-29a-3p,hsa,DNMT3A,1788,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,17890317
MIRT000137,hsa-miR-221-3p,hsa,CDKN1B,1027,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667
MIRT000131,hsa-miR-222-3p,hsa,CDKN1B,1027,hsa,Luciferase reporter assay//Western blot,Functional MTI,17569667
MIRT003015,hsa-miR-17-5p,hsa,MEF2D,4209,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003014,hsa-miR-17-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003013,hsa-miR-17-5p,hsa,MAP3K12,7786,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003012,hsa-miR-20a-5p,hsa,MEF2D,4209,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003011,hsa-miR-20a-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003010,hsa-miR-20a-5p,hsa,MAP3K12,7786,hsa,Luciferase reporter assay,Functional MTI,19666108
MIRT003744,hsa-miR-320a,hsa,TFRC,7037,hsa,Luciferase reporter assay,Functional MTI,18523662
MIRT003007,hsa-miR-155-5p,hsa,TP53INP1,94241,hsa,Western blot//Luciferase reporter assay,Functional MTI,17911264
MIRT003006,hsa-miR-122-5p,hsa,CCNG1,900,hsa,Reporter assay,Functional MTI (Weak),17616664
MIRT003005,hsa-miR-130a-3p,hsa,TAC1,6863,hsa,Luciferase reporter assay,Functional MTI,17855557
MIRT003004,hsa-miR-206,hsa,TAC1,6863,hsa,Luciferase reporter assay,Functional MTI,17855557
MIRT002993,hsa-miR-126-3p,hsa,CRK,1398,hsa,Luciferase reporter assay,Functional MTI,18602365
MIRT002988,hsa-miR-429,hsa,RERE,473,hsa,Luciferase reporter assay,Functional MTI,17923093
MIRT002987,hsa-miR-200b-3p,hsa,RERE,473,hsa,Luciferase reporter assay,Functional MTI,17923093
MIRT003748,hsa-let-7c-5p,hsa,MYC,4609,hsa,Luciferase reporter assay,Functional MTI,17877811
MIRT001800,hsa-miR-16-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,17877811
MIRT002953,hsa-miR-23a-3p,hsa,HES1,3280,hsa,Luciferase reporter assay,Functional MTI,15066185
MIRT002474,hsa-miR-22-3p,hsa,ESR1,2099,hsa,Western blot,Functional MTI,18347104
MIRT002473,hsa-miR-22-3p,hsa,PPARA,5465,hsa,Western blot,Functional MTI,18347104
MIRT002447,hsa-miR-96-5p,hsa,HTR1B,3351,hsa,Reporter assay,Functional MTI (Weak),18283276
MIRT003845,hsa-miR-125b-5p,hsa,LIN28A,79727,hsa,Reporter assay,Functional MTI (Weak),18230348
MIRT002403,hsa-miR-27a-3p,hsa,SP1,6667,hsa,Western blot,Functional MTI,18006846
MIRT002402,hsa-miR-27a-3p,hsa,SP3,6670,hsa,Western blot,Functional MTI,18006846
MIRT002401,hsa-miR-27a-3p,hsa,SP4,6671,hsa,Western blot,Functional MTI,18006846
MIRT003830,hsa-miR-24-3p,hsa,ACVR1B,91,hsa,Western blot//Luciferase reporter assay,Functional MTI,17906079
MIRT003829,hsa-miR-29c-3p,hsa,FBN1,2200,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,18390668
MIRT003828,hsa-miR-199a-5p,hsa,IKBKB,3551,hsa,Reporter assay//Western blot,Functional MTI,18408758
MIRT003754,hsa-miR-125b-5p,hsa,NTRK3,4916,hsa,Western blot//Reporter assay,Functional MTI,17483472
MIRT002323,hsa-let-7a-5p,hsa,HMGA2,8091,hsa,qRT-PCR//Western blot,Functional MTI,17600087
MIRT002322,hsa-let-7c-5p,hsa,HMGA2,8091,hsa,qRT-PCR//Western blot,Functional MTI,17600087
MIRT002025,hsa-miR-124-3p,hsa,CEBPA,1050,hsa,Western blot//Reporter assay,Functional MTI,18451139
MIRT003808,hsa-miR-7-5p,hsa,IRS2,8660,hsa,Reporter assay//Western blot,Functional MTI,18483236
MIRT003807,hsa-miR-7-5p,hsa,IRS1,3667,hsa,Western blot,Functional MTI,18483236
MIRT002289,hsa-miR-7-5p,hsa,EGFR,1956,hsa,real-time RT-PCR//Reporter assay//Western blot,Functional MTI,18483236
MIRT001225,hsa-miR-16-5p,hsa,CCND1,595,hsa,Western blot,Functional MTI,18483394
MIRT002272,hsa-miR-221-3p,hsa,CDKN1C,1028,hsa,Reporter assay,Functional MTI (Weak),18521080
MIRT002098,hsa-miR-34a-5p,hsa,SIRT1,23411,hsa,Western blot,Functional MTI,18834855
MIRT002097,hsa-let-7g-5p,hsa,HMGA2,8091,hsa,Western blot,Functional MTI,18413726
MIRT002090,hsa-miR-21-5p,hsa,NFIB,4781,hsa,Luciferase reporter assay//qRT-PCR//Western blot,Functional MTI,18384814
MIRT003757,hsa-miR-221-3p,hsa,TNFSF10,8743,hsa,Western blot,Functional MTI,18246122
MIRT003756,hsa-miR-222-3p,hsa,TNFSF10,8743,hsa,Western blot,Functional MTI,18246122
MIRT003323,hsa-miR-9-5p,hsa,NTRK3,4916,hsa,Luciferase reporter assay//Western blot,Functional MTI,17483472
MIRT003755,hsa-miR-125a-5p,hsa,NTRK3,4916,hsa,Luciferase reporter assay//Western blot,Functional MTI,17483472
MIRT002084,hsa-miR-378a-5p,hsa,SUFU,51684,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18077375
MIRT003753,hsa-miR-378a-5p,hsa,TUSC2,11334,hsa,Luciferase reporter assay//Western blot//qRT-PCR,Functional MTI,18077375
MIRT002077,hsa-let-7a-5p,hsa,TRIM71,131405,hsa,Luciferase reporter assay,Functional MTI,17890240
MIRT002076,hsa-let-7c-5p,hsa,TRIM71,131405,hsa,Luciferase reporter assay,Functional MTI,17890240
MIRT003752,hsa-let-7a-5p,hsa,trim71,561754,dre,Luciferase reporter assay,Functional MTI,17890240
MIRT002027,hsa-let-7a-5p,hsa,lin-41,172760,cel,Luciferase reporter assay//Ribonuclease protection assay,Functional MTI,17535905
MIRT002024,hsa-miR-210-3p,hsa,EFNA3,1944,hsa,Luciferase reporter assay//Western blot,Functional MTI,18417479
MIRT002021,hsa-miR-10b-5p,hsa,HOXD10,3236,hsa,Luciferase reporter assay//Western blot,Functional MTI,17898713
MIRT002018,hsa-miR-24-3p,hsa,DHFR,1719,hsa,real time qRT-PCR//Western blot,Functional MTI,17686970
MIRT003287,hsa-miR-29b-3p,hsa,MCL1,4170,hsa,Luciferase reporter assay//Western blot//Immunofluorescence,Functional MTI,17404574
MIRT002006,hsa-miR-155-5p,hsa,AGTR1,185,hsa,Luciferase reporter assay,Functional MTI,17668390
MIRT002005,hsa-let-7d-5p,hsa,HMGA2,8091,hsa,Luciferase reporter assay,Functional MTI,17600087
MIRT001043,hsa-miR-155-5p,hsa,BACH1,571,hsa,Luciferase reporter assay,Functional MTI,17881434
MIRT002000,hsa-miR-22-3p,hsa,BMP7,655,hsa,Luciferase reporter assay,Functional MTI,19011694
MIRT003974,hsa-let-7a-5p,hsa,wech,44653,dme,Luciferase reporter assay,Functional MTI,17671087
MIRT001992,hsa-miR-182-5p,hsa,ADCY6,112,hsa,Luciferase reporter assay,Functional MTI,17597072
MIRT001991,hsa-miR-96-5p,hsa,ADCY6,112,hsa,Luciferase reporter assay,Functional MTI,17597072
MIRT001990,hsa-miR-182-5p,hsa,MITF,4286,hsa,Luciferase reporter assay,Functional MTI,17597072
MIRT001989,hsa-miR-96-5p,hsa,MITF,4286,hsa,Luciferase reporter assay,Functional MTI,17597072
MIRT003976,hsa-miR-1-3p,hsa,HSPD1,3329,hsa,Luciferase reporter assay,Functional MTI,17715156
MIRT003977,hsa-miR-1-3p,hsa,HSPA4,3308,hsa,Luciferase reporter assay,Functional MTI,17715156
MIRT001986,hsa-miR-133a-3p,hsa,CASP9,842,hsa,Luciferase reporter assay,Functional MTI,17715156
MIRT001984,hsa-miR-1-3p,hsa,GJA1,2697,hsa,Luciferase reporter assay,Functional MTI,17401374
MIRT001983,hsa-miR-1-3p,hsa,KCNJ2,3759,hsa,Luciferase reporter assay,Functional MTI,17401374
MIRT001980,hsa-miR-21-5p,hsa,TPM1,7168,hsa,Luciferase reporter assay//Western blot,Functional MTI,17363372
MIRT001979,hsa-miR-510-5p,hsa,HTR3E,285242,hsa,Luciferase reporter assay,Functional MTI,18614545
MIRT002298,hsa-miR-34a-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,18803879
MIRT000065,hsa-miR-34b-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,18803879
MIRT003979,hsa-miR-34c-5p,hsa,BCL2,596,hsa,Luciferase reporter assay,Functional MTI,18803879
MIRT003980,hsa-miR-33b-5p,hsa,BCL2,596,hsa,qRT-PCR//Western blot,Functional MTI,18803879
MIRT001969,hsa-miR-199a-3p,hsa,MET,4233,hsa,Luciferase reporter assay//Western blot,Functional MTI,18456660
MIRT003983,hsa-miR-199a-3p,hsa,MAPK1,5594,hsa,Western blot,Functional MTI,18456660
MIRT001961,hsa-miR-155-5p,hsa,RHOA,387,hsa,Luciferase reporter assay,Functional MTI,18794355
MIRT001954,hsa-miR-129-5p,hsa,AGO3,192669,hsa,Luciferase reporter assay,Functional MTI,18189265
MIRT001953,hsa-miR-129-5p,hsa,CAMTA1,23261,hsa,Luciferase reporter assay,Functional MTI,18189265
MIRT001952,hsa-miR-520h,hsa,ABCG2,9429,hsa,Luciferase reporter assay,Functional MTI,18189265
MIRT000719,hsa-miR-222-3p,hsa,CDKN1C,1028,hsa,Luciferase reporter assay//Western blot,Functional MTI,18413744
MIRT001946,hsa-miR-30a-5p,hsa,BDNF,627,hsa,Luciferase reporter assay,Functional MTI,18632683
MIRT003991,hsa-miR-138-5p,hsa,TERT,7015,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18201269
MIRT001941,hsa-miR-135a-5p,hsa,APC,324,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,18632633
MIRT001940,hsa-miR-135b-5p,hsa,APC,324,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,18632633
MIRT001937,hsa-miR-9-5p,hsa,PRDM1,639,hsa,Luciferase reporter assay,Functional MTI,18583325
MIRT001936,hsa-let-7a-5p,hsa,PRDM1,639,hsa,Luciferase reporter assay,Functional MTI,18583325
MIRT001935,hsa-miR-106a-5p,hsa,APP,351,hsa,Luciferase reporter assay,Functional MTI,18684319
MIRT001934,hsa-miR-520c-3p,hsa,APP,351,hsa,Luciferase reporter assay,Functional MTI,18684319
MIRT001930,hsa-miR-210-3p,hsa,NPTX1,4884,hsa,Luciferase reporter assay,Functional MTI,18539147
MIRT000928,hsa-miR-29c-3p,hsa,COL1A1,1277,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001928,hsa-miR-29c-3p,hsa,COL1A2,1278,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT000927,hsa-miR-29c-3p,hsa,COL3A1,1281,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001927,hsa-miR-29c-3p,hsa,COL4A1,1282,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001926,hsa-miR-29c-3p,hsa,COL4A2,1284,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001925,hsa-miR-29c-3p,hsa,COL15A1,1306,hsa,Luciferase reporter assay//qRT-PCR,Functional MTI,18390668
MIRT003994,hsa-miR-29c-3p,hsa,SRSF10,10772,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001923,hsa-miR-29c-3p,hsa,LAMC1,3915,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001922,hsa-miR-29c-3p,hsa,SPARC,6678,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001921,hsa-miR-29c-3p,hsa,TDG,6996,hsa,Luciferase reporter assay,Functional MTI,18390668
MIRT001920,hsa-miR-146a-5p,hsa,BRCA1,672,hsa,Luciferase reporter assay,Functional MTI,18660546
MIRT001919,hsa-miR-146a-5p,hsa,BRCA2,675,hsa,Luciferase reporter assay,Functional MTI,18660546
MIRT001918,hsa-miR-126-3p,hsa,HOXA9,3205,hsa,GFP reporter assay//qRT-PCR//Western blot,Functional MTI,18474618
MIRT004028,hsa-miR-106a-5p,hsa,ARID4B,51742,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001838,hsa-miR-106a-5p,hsa,MYLIP,29116,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001837,hsa-miR-106a-5p,hsa,HIPK3,10114,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001223,hsa-miR-106a-5p,hsa,CDKN1A,1026,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18212054
MIRT000800,hsa-miR-107,hsa,BACE1,23621,hsa,Western blot//Northern blot,Functional MTI,18234899
MIRT001820,hsa-miR-126-5p,hsa,SLC45A3,85414,hsa,Western blot//Luciferase reporter assay,Functional MTI,18193184
MIRT001805,hsa-miR-155-5p,hsa,LDOC1,23641,hsa,Luciferase reporter assay,Functional MTI,17881434
MIRT001804,hsa-miR-155-5p,hsa,MATR3,9782,hsa,Luciferase reporter assay,Functional MTI,17881434
MIRT001803,hsa-miR-155-5p,hsa,TM6SF1,53346,hsa,Luciferase reporter assay,Functional MTI,17881434
MIRT000600,hsa-miR-17-5p,hsa,CDKN1A,1026,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18212054
MIRT004064,hsa-miR-19b-3p,hsa,HIPK3,10114,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT004066,hsa-miR-19b-3p,hsa,MYLIP,29116,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT004072,hsa-miR-20b-5p,hsa,ARID4B,51742,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001783,hsa-miR-20b-5p,hsa,MYLIP,29116,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001782,hsa-miR-20b-5p,hsa,HIPK3,10114,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT000596,hsa-miR-20b-5p,hsa,CDKN1A,1026,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18212054
MIRT000799,hsa-miR-214-3p,hsa,PTEN,5728,hsa,Western blot//qRT-PCR//Luciferase reporter assay,Functional MTI,18199536
MIRT003987,hsa-miR-224-5p,hsa,API5,8539,hsa,Western blot//Luciferase reporter assay//qRT-PCR,Functional MTI,18319255
MIRT001770,hsa-miR-27a-3p,hsa,MYT1,4661,hsa,Western blot,Functional MTI,18006846
MIRT001769,hsa-miR-27a-3p,hsa,ZBTB10,65986,hsa,Western blot,Functional MTI,18006846
MIRT001766,hsa-miR-29a-3p,hsa,BACE1,23621,hsa,Luciferase reporter assay//Western blot,Functional MTI,18434550
MIRT000930,hsa-miR-29b-3p,hsa,BACE1,23621,hsa,Luciferase reporter assay//Western blot,Functional MTI,18434550
MIRT000590,hsa-miR-372-3p,hsa,CDKN1A,1026,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,18212054
MIRT001741,hsa-miR-433-3p,hsa,FGF20,26281,hsa,Luciferase reporter assay//Western blot,Functional MTI,18252210
MIRT001736,hsa-miR-9-5p,hsa,BACE1,23621,hsa,Luciferase reporter assay,Functional MTI,18434550
MIRT004090,hsa-miR-92a-3p,hsa,HIPK3,10114,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT004091,hsa-miR-92a-3p,hsa,MYLIP,29116,hsa,Luciferase reporter assay,Functional MTI,17575136
MIRT001233,hsa-miR-107,hsa,CDK6,1021,hsa,Western blot,Functional MTI,19407485
MIRT001754,hsa-miR-373-3p,hsa,LATS2,26524,hsa,Luciferase reporter assay//Western blot,Functional MTI,19501585
MIRT001232,hsa-miR-34a-5p,hsa,AXIN2,8313,hsa,Luciferase reporter assay,Functional MTI,19336450
MIRT001231,hsa-miR-34a-5p,hsa,WNT1,7471,hsa,Luciferase reporter assay,Functional MTI,19336450
MIRT001230,hsa-miR-605-5p,hsa,SEC24D,9871,hsa,qRT-PCR//Western blot,Functional MTI,19336450
MIRT001229,hsa-let-7b-5p,hsa,CDC34,997,hsa,Luciferase reporter assay//Western blot,Functional MTI,19126550
MIRT001228,hsa-miR-15a-5p,hsa,CCNE1,898,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19591824
MIRT001227,hsa-miR-15a-5p,hsa,CCND1,595,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19591824
MIRT001226,hsa-miR-16-5p,hsa,CCNE1,898,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19591824
MIRT004279,hsa-miR-127-3p,hsa,PRDM1,639,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19530237
MIRT001222,hsa-miR-182-5p,hsa,RARG,5916,hsa,Luciferase reporter assay//Western blot,Functional MTI,19782699
MIRT001221,hsa-miR-21-5p,hsa,MARCKS,4082,hsa,Luciferase reporter assay//Western blot,Functional MTI,19302977
MIRT001220,hsa-miR-21-5p,hsa,LRRFIP1,9208,hsa,semi-qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19559015
MIRT001219,hsa-miR-101-3p,hsa,FOS,2353,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,19133651
MIRT002665,hsa-miR-124-3p,hsa,SLC16A1,6566,hsa,Luciferase reporter assay//Western blot,Functional MTI,19427019
MIRT001210,hsa-miR-27a-3p,hsa,PHB,5245,hsa,qRT-PCR//GFP reporter assay//Western blot,Functional MTI,18789835
MIRT001209,hsa-miR-494-3p,hsa,PTEN,5728,hsa,qRT-PCR//Luciferase reporter assay//Western blot,Functional MTI,20006626
MIRT001208,hsa-miR-21-5p,hsa,TGFBI,7045,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001207,hsa-miR-155-5p,hsa,APC,324,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001206,hsa-miR-17-5p,hsa,BCL2L11,10018,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001205,hsa-miR-1-3p,hsa,HCN2,610,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001204,hsa-miR-133a-3p,hsa,HCN2,610,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001203,hsa-miR-133a-3p,hsa,CACNA1C,775,hsa,Luciferase reporter assay//Western blot,Functional MTI,19136465
MIRT001202,hsa-miR-9-5p,hsa,RAB34,83871,hsa,Luciferase reporter assay//Western blot,Functional MTI,19531230
MIRT001201,hsa-miR-433-3p,hsa,GRB2,2885,hsa,Luciferase reporter assay//Western blot,Functional MTI,19531230
